id,pokemon_ability_id,effect,language,short_effect
1,1,"Attacken die Schaden verursachen haben mit jedem Treffer eine 10% Chance das Ziel zurückschrecken zu lassen, wenn die Attacke dies nicht bereits als Nebeneffekt hat.

Der Effekt stapelt nicht mit dem von getragenen Items.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen wilde Pokémon nur halb so oft auf.",de,Mit jedem Treffer besteht eine 10% Chance das Ziel zurückschrecken zu lassen.
2,2,"Das weather ändert sich zu rain wenn ein Pokémon mit dieser Fähigkeit den Kampf betritt. Dieser Effekt ist dauerhaft bis das weather geändert wird.

Wenn mehrere Pokémon mit dieser Fähigkeit, drought, sand stream oder snow warning zur selben Zeit den Kampf betreten, werden die Fähigkeiten nach Reihenfolge der speed der Pokémon ausgelöst, unter Berücksichtigung von trick room.",de,Ändert beim Betreten des Kampfes das weather in rain.
3,3,Die speed des Pokémon erhöht sich jede Runde um 1 Stufe.,de,Steigert die speed um 1 Stufe nach jeder Runde.
4,4,"Attacken können keinen kritischen Treffer landen.

Diese Fähigkeit ist identisch mit shell armor.",de,Schützt vor kritischen Treffern.
5,5,"Wenn das Pokémon volle hp hat, lässt jeder Treffer der das Pokémon besiegt hätte ein hp übrig. Das Pokémon ist immun gegen die K.O.-Attacken fissure, guillotine, horn drill und sheer cold.

Hält das Pokémon ein focus sash, hat die Fähigkeit Vorrang und das Item wird nicht verbraucht.",de,"Verhindert K.O.-Treffer bei vollen hp, das Pokémon behält 1 hp. Schützt gegen K.O.-Attacken."
6,6,"Wenn sich ein Pokémon mit dieser Fähigkeit im Kampf befindet, schlagen die Attacken self destruct und explosion fehl und aftermath hat keinen Effekt.",de,"Verhindert self destruct, explosion und aftermath."
7,7,"Ein Pokémon mit dieser Fähigkeit kann nicht paralysiert werden.

Wenn ein paralysiertes Pokémon diese Fähigkeit erhält, wird es von der paralysis geheilt. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein.",de,Verhindert paralysis.
8,8,"Während eines Sandsturms hat ein Pokémon mit dieser Fähigkeit einen um 25% erhöhten evasion und es nimmt keinen Schaden durch Sandstürme.

Der Bonus zählt nicht als Statuswerte Änderung.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, tauchen im Sandsturm nur halb so viele Pokémon auf.",de,Erhöht den evasion um 25% während eines Sandsturms. Kein Schaden durch Sandstürme.
9,9,"Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke mit Kontakt getroffen wird, besteht eine 30% Chance, dass der Angreifer paralysiert wird.

Pokémon die immun gegen electric Attacken sind können trotzdem von dieser Fähigkeit paralysiert werden.

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, besteht eine 50% Chance einem electric Pokémon zu begegnen, falls es welche gibt.",de,30% Chance das angreifende Pokémon bei Kontakt zu paralysieren.
10,10,"Wenn ein Pokémon mit dieser Fähigkeit von einer electric Attacke getroffen wird, wird es um 1/4 seiner maximalen hp geheilt. Jeder andere Effekt der Attacke wird ignoriert.

Die Fähigkeit wirkt nicht, wenn das Pokémon vom Typ ground ist. electric Attacken ignorieren den substitute dieses Pokémons.

Der Effekt gilt auch für Attacken die keinen Schaden verursachen, wie z.B. thunder wave.",de,Absorbiert electric Attacken und heilt 1/4 der max hp.
11,11,"Wenn ein Pokémon mit dieser Fähigkeit von einer water Attacke getroffen wird, wird es um 1/4 seiner maximalen hp geheilt. Jeder andere Effekt der Attacke wird ignoriert.

water Attacken ignorieren den substitute dieses Pokémons.",de,Absorbiert water Attacken und heilt 1/4 der maximalen hp.
12,12,"Dieses Pokémon kann sich nicht verlieben und ist immun gegen captivate.

Wenn ein Pokémon verliebt ist und diese Fähigkeit erhält, wird es von der infatuation geheilt.",de,Verhindert infatuation und schützt gegen captivate.
13,13,"Während ein Pokémon mit dieser Fähigkeit im Kampf ist, kann das weather zwar geändert werden, hat aber keinen Effekt.

Diese Fähigkeit ist identisch mit air lock.",de,Entfernt alle Wettereffekte aber ändert nicht das weather selbst.
14,14,"Die Attacken eines Pokémon mit dieser Fähigkeit haben eine um 30% erhöhte accuracy.

Diese Fähigkeit hat keinen Einfluss auf K.O.-Attacken (fissure, guillotine, horn drill und sheer cold).

Außerhalb vom Kampf: Wenn ein Pokémon mit dieser Fähigkeit an erster Stelle im Team steht, erhöht sich die Chance, dass ein wildes Pokémon ein Item trägt von 50%, 5% oder 1% auf 60%, 20% oder 5%, respektive.",de,Erhöht die accuracy von Attacken um 30%.
15,15,"Ein Pokémon mit dieser Fähigkeit kann nicht einschlafen.

rest schlägt fehl. Wenn ein Pokémon schläft und diese Fähigkeit erhält, wacht es sofort auf. Das bezieht das Wiedererlangen dieser Fähigkeit nach dem Kampf mit ein.

Diese Fähigkeit ist identisch mit vital spirit.",de,Verhindert sleep.
16,16,"Wenn ein Pokémon mit dieser Fähigkeit von einer Attacke getroffen wird die Schaden verursacht, ändert sich der Typ des Pokémons in den der Attacke.

Wenn das Pokémon 2 Typen hat, werden beide überschrieben. Das Pokémon muss direkten Schaden erleiden, Attacken die vom substitute geblockt werden, lösen den Effekt nicht aus, ebenso wie Attacken mit indirektem Schaden wie spikes.

Bei Attacken mit mehreren Treffern löst nur der Letzte den Effekt aus.

Diese Fähigkeit hat keinen Einfluss auf shadow Attacken in Pokémon Colosseum und XD: Der dunkle Sturm.",de,Ändert den Typ des Pokémons in den der Attacke von der es getroffen wird.
